Australasian Shoveler,Mountain Brushtail Possum,Red-rumped Parrot,Barrabarruun,Watson's Tree Frog,Mainland Black-faced Cuckoo-shrike,Eastern Bent-winged Bat,Common Planigale,Black-faced Monarch,Whiptail Wallaby
True,True,True,True,False,True,False,False,True,False
False,True,True,True,False,False,True,False,True,False
False,False,True,True,False,False,True,False,True,False
False,False,True,False,False,True,False,False,True,False
True,True,True,True,False,True,True,False,True,False
True,False,True,False,False,False,False,False,False,False
False,True,True,True,False,False,True,True,True,True
False,False,True,True,False,True,False,False,True,False
False,True,True,True,False,False,True,False,True,False
True,True,True,True,False,False,True,True,True,True
True,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,True,False
True,False,True,False,False,True,False,False,False,False
False,True,True,False,False,True,True,False,True,False
True,True,True,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,True,False
True,True,True,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False
True,False,True,True,False,True,True,False,False,False
False,False,True,False,False,False,False,False,False,False
True,True,True,False,False,False,True,False,True,False
True,False,True,False,False,False,False,False,False,False
True,False,True,True,False,False,False,False,False,False
True,True,True,False,False,False,True,False,False,False
False,False,False,True,False,False,True,False,True,False
True,False,True,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False
True,False,True,True,False,False,False,False,False,False
True,False,True,True,False,True,False,False,False,False
False,True,True,True,False,False,True,False,True,False
True,True,True,True,True,True,True,False,True,False
True,False,True,True,False,True,True,False,True,False
True,True,True,True,False,True,True,False,True,False
False,True,True,True,False,False,True,False,True,False
True,False,False,False,False,False,False,False,True,False
True,False,True,True,False,True,True,False,False,False
